"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Daniel Olk","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Daniel S. Andersen","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Daniel S. Nettleton","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Daniel Thomson","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Daniel W. Russell","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Daniel ???Robison","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Daniela Dimitrova","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Danny Douglas","English","RATE_MY_PROFESSORS","","","","","","",""
"Danny J. Johnson","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"Daren S. Mueller","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Darin R. Wohlgemuth","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Darren Jarboe","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Darryl Jon Trulin","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Daryl Olsen",,"RATE_MY_PROFESSORS","","","","","","",""
"Daryl R. Strohbehn","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Dathan Smerchek","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"David A. Carter-Lewis","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"David A. Harville","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"David Alan Laird","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"David Alexander","Philosophy and Religious Studies","RATE_MY_PROFESSORS","","","","","","",""
"David B. Hollander","History","RATE_MY_PROFESSORS","","","","","","",""
"David Ball Wilson","History; Emeritus Professor of Philosophy and Religious Studies","RATE_MY_PROFESSORS","","","","","","",""
"David Baum","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"David Bishop Owen","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"David Borts","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"David C. Edwards","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"David C. Jiles","Electrical and Computer Engineering; Emeritus Professor of Materials Science and Engineering; Anson Marston Distinguished Professor in Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David C. Johnston","Physics and Astronomy; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"David D. Minner","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"David D. Roberts","English","RATE_MY_PROFESSORS","","","","","","",""
"David Edward Cantor","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"David Eisenmann","Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David F. Merkley","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"David Fernandez-Baca","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"David Flory","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"David G. Acker","Agricultural Education and Studies","RATE_MY_PROFESSORS","","","","","","",""
"David Grant","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"David Grewell","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David H. Stuart","Music and Theatre; Emeritus Professor of School of Education","RATE_MY_PROFESSORS","","","","","","",""
"David Hennessy","Economics","RATE_MY_PROFESSORS","","","","","","",""
"David Herzog","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"David J. Hannapel","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"David J. Oliver","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"David J. Peters","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"David J. White","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David James Gregory",,"RATE_MY_PROFESSORS","","","","","","",""
"David K. Hoffman","Chemistry; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"David Keith Whigham","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"David Kermit Holger","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David Kopsell","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"David Kwaw-Mensah","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"David L. Hopper","Veterinary Diagnostic and Production Animal Medicine; B.S., 1971, M.S., 1972, Wisconsin (Oshkosh); Ph.D., 1976, Iowa State","RATE_MY_PROFESSORS","","","","","","",""
"David L. Parnas","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"David L. Vogel","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"David Lewis Williams","School of Education; Emeritus Professor of Agricultural Education and Studies; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"David M. Atwood","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"David Peter Spalding","Finance","RATE_MY_PROFESSORS","","","","","","",""
"David Peterson","Political Science","RATE_MY_PROFESSORS","","","","","","",""
"David Prentice",,"RATE_MY_PROFESSORS","","","","","","",""
"David R. Russell","English","RATE_MY_PROFESSORS","","","","","","",""
"David Raver","Practice, Interior Design","RATE_MY_PROFESSORS","","","","","","",""
"David Rosero","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"David S. Senchina","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"David Sanders","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David Scott Schweingruber","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"David Sly","Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David Starling","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"David T. Kao","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David T. Stephenson","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"David Vaknin","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"David Verhoeven","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"David W. Countryman","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"David Weiss","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"David Wilwerding","Urban Planning and Development","RATE_MY_PROFESSORS","","","","","","",""
"David Wong","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Davit Potoyan","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
"Dawn Bowker","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Dawn Bratsch-Prince","World Languages and Cultures; Associate Provost for Faculty","RATE_MY_PROFESSORS","","","","","","",""
"Dawn Koltes","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Dean Adams","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Dean Anderson","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Dean Boyd","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Dean Harold Riedesel","Veterinary Clinical Sciences; Emeritus Professor of Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Dean L. Isaacson","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Dean R. Prestemon","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Dean Ulrichson","Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Deborah Hauptmann","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Deborah Pappenheimer","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Debra K. Marquart","English; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Debra Lynn Power","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Debra M. Sellers","Human Development and Family Studies; Associate","RATE_MY_PROFESSORS","","","","","","",""
"Debra Vangorp","Practice in School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Degang Chen","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Deidra Schleicher","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Delbert Linn Harris","Animal Science; Emeritus Professor of Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Deni Marie Chamberlin","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Denise A. Crawford","School of Education; Morrill Professor","RATE_MY_PROFESSORS","","","","","","",""
"Denise Vrchota","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Dennis C. Wendell",,"RATE_MY_PROFESSORS","","","","","","",""
"Dennis Kent Ross","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Dennis Myron Dake","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Dennis N. Marple","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Dennis R. Keeney","Agronomy; Emeritus Professor of Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Dennis R. Starleaf","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Dennis R. Vigil","Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Dennis V. Lavrov","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Derald J. Holtkamp","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Derek L. Pursey","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Dermot James Hayes","Economics; Emeritus Professor of Finance","RATE_MY_PROFESSORS","","","","","","",""
"Derrick K. Rollins","Chemical and Biological Engineering; Emeritus Professor of Statistics; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Diana D. Shonrock","Library","RATE_MY_PROFESSORS","","","","","","",""
"Diana Figueredo","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Diane Bugeja","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Diane Clare Bassham","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Diane Debinski","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Diane Feickert Birt","Food Science and Human Nutrition; Mary B","RATE_MY_PROFESSORS","","","","","","",""
"Diane J. Janvrin","Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Diane M. Alshihabi","Interior Design","RATE_MY_PROFESSORS","","","","","","",""
"Diane Thiede Rover","Electrical and Computer Engineering; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Dianne C. Draper","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Dianne H. Cook","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Dileepkumar Guntuku","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Dilys E. Morris",,"RATE_MY_PROFESSORS","","","","","","",""
"Dior Kelley","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Dipali Sashital","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Dirk J. Deam","Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Dirk Maier","Agricultural and Biosystems Engineering; Professor of Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Domenico D'Alessandro","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Don Carlos Rawson","History","RATE_MY_PROFESSORS","","","","","","",""
"Donald Beermann","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Donald C. Beitz","Animal Science; Professor of Biochemistry, Biophysics, and Molecular Biology; Charles F","RATE_MY_PROFESSORS","","","","","","",""
"Donald Chester Dyer","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Donald D. Draper","Biomedical Sciences; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Donald Foley","Practice of Economics","RATE_MY_PROFESSORS","","","","","","",""
"Donald G. Zytowski","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Donald J., Jr. Wolford","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Donald R. Adams","Biomedical Sciences; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Donald R. Bear","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Donald R. Farrar","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Donald R. Lewis","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Donald R. Simonson","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Donald S. Sakaguchi","Genetics, Development, and Cell Biology; Professor of Biomedical Sciences; Morrill Professor","RATE_MY_PROFESSORS","","","","","","",""
"Dong Uk Ahn","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Donghyuk Kim","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Donna M. Niday","English","RATE_MY_PROFESSORS","","","","","","",""
"Donna Stine Kienzler","English; A.B., 1968, Gettysburg; A.M., 1970, Ph.D., 1975, Illinois","RATE_MY_PROFESSORS","","","","","","",""
"Donna Winham","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Donovan Bunn","Practice, Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Dorothy A. Winsor","English","RATE_MY_PROFESSORS","","","","","","",""
"Dorothy L. Fowles","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Dorothy M. Masinde","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"Doug Smith","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Doug W. Jacobson","Electrical and Computer Engineering; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Douglas A. Gentile","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Douglas D. Gemmill","Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Douglas D. Stokke","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Douglas E. Jones","Veterinary Pathology","RATE_MY_PROFESSORS","","","","","","",""
"Douglas Finnemore","Physics and Astronomy; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Douglas G. Bonett","Psychology; Emeritus Professor of Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Douglas L. Epperson","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Douglas Lawrence Karlen","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Douglas N. Yarger","Earth, Atmosphere, and Climate; Emeritus Professor of Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Douglas S. King","Kinesiology and Health; Emeritus Professor of Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Douglas Spencer","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Douglas Wieczorek","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Doyle Edward Wilson","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Drew Magstadt","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Duane D. Johnson","Materials Science and Engineering; Professor of Chemical and Biological Engineering; Professor of Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Duane Long","Philosophy and Religious Studies","RATE_MY_PROFESSORS","","","","","","",""
"Duane W. Mangold","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Durga Paudyal","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"E. Walter Anderson","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"ELIZABETH McNEILL","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"ERIN McQUINN","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Ebby S. Luvaga","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Edison Magalhaes","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Edward A. Goedeken","History","RATE_MY_PROFESSORS","","","","","","",""
"Edward Cupps","Practice, Graphic Design","RATE_MY_PROFESSORS","","","","","","",""
"Edward J. Braun","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Edward J. Kannel","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Edward Joseph Lehner","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Edward S. Yeung","Chemistry; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Edwin C. Jr. Jones","Electrical and Computer Engineering; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Edythe K. Glass","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Eileen Ostlund","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Eldon Karl Uhlenhopp","Veterinary Diagnostic and Production Animal Medicine; Emeritus Professor of Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Eleanor R. Mathews",,"RATE_MY_PROFESSORS","","","","","","",""
"Elena Cotos","English","RATE_MY_PROFESSORS","","","","","","",""
"Elgin H. Johnston","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Eli Ira Rosenberg","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Elijah James Stines","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Eliot H. Winer","Mechanical Engineering; Associate Professor of Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Elisa G. Rizo","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Elisabeth A. Schafer","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Elisabeth J. Lonergan","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth A. Haag","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth A. Riedesel","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth A. Thompson","School of Education; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Bobeck","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Butin","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Hoffman","Economics; B.A., 1968, Smith; M.A., 1969, Ph.D., 1972, Pennsylvania; Ph.D., 1979, California Institute of Technology","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth J. Norris","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Lefferts","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Stegemoller","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Swanner","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Elizabeth Swanner Smith","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Ella Gray","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Ella Sympson","Practice, Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Elle Hyunjung Yoon","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Ellen B. Pirro","Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Ellen E. Fairchild","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Ellen Jo Mullen","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Elvira Mayordomo","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Emanoelly Machado Silva","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Emily Guo","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Emily Julia Berg","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Emily Kathryn Morgan","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Emily Kohnke","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"Emily L. Moore","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Emily Martini","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Emily Smith","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
"Emmanuel Ikechukwu Agba","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Emmett J. Stevermer","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Eric A. Brown","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Eric Alan Abbott","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Eric Badding","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Eric Burrough","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Eric Cassmann","Veterinary Pathology","RATE_MY_PROFESSORS","","","","","","",""
"Eric E. Cooper","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Eric Krause","Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Eric Martin Vaughn","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Eric Otto Hoiberg","Sociology and Criminal Justice; B.A., 1966, M.A., 1969, Ph.D., 1973, Nebraska","RATE_MY_PROFESSORS","","","","","","",""
"Eric R. Henderson","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Eric Underbakke","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Eric W. Cochran","Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Eric W. Rowe","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Eric Weber","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Erica Anne Beirman","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Erik Ladner","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Erik Warren Vollbrecht","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Erin E. Bergquist","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Erin E. Wilgenbusch","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Erin Muths","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Erin Olson-Douglas","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Erin Whitnee Hodgson","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Esmat Farzana","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Esther Jose","Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ethan Secor","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Etsuro Uemura","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Eugene F. Steiner","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Eugenia Sue Farrar","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Eugenio D. Matibag","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Eulanda Sanders","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Eun Kwan Choi","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Eunha Jeong","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Eunice M. Bassler",,"RATE_MY_PROFESSORS","","","","","","",""
"Eunjin Bahng","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Evan Hume","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Eve S. Wurtele","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Evgenii M. Levin","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Evgeny Chukharev-Khudilaynen","English","RATE_MY_PROFESSORS","","","","","","",""
"Evrim Baran","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Fabian Diaz","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Fabiana Depaula","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Fallys Masambuka-Kanchewa","Agricultural Education and Studies","RATE_MY_PROFESSORS","","","","","","",""
"Farzad Sabzikar","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Farzane Omidi","Interior Design","RATE_MY_PROFESSORS","","","","","","",""
"Faye P. Whitaker","English","RATE_MY_PROFESSORS","","","","","","",""
"Feng Guo","Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Ferdinando Borsa","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Fernando E. Miguez","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Fields Gunsett","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Filip Viskupic","Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Firat Erdim","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Forrest W. Jr. Nutter","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Fouad S. Fanous","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Francis Peterson","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Francis Sperl","Military Science and Tactics","RATE_MY_PROFESSORS","","","","","","",""
"Francis Y. Owusu","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Frank Cerfogli","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Frank E. Haggard","English","RATE_MY_PROFESSORS","","","","","","",""
"Frank E. Peters","Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Frank Krennrich","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Frank L. Montabon","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"Franklin A. Ahrens","Biomedical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Fred H. Borgen","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Fred Wayne Klaiber","Civil, Construction, and Environmental Engineering; Anson Marston Distinguished Professor in Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Frederic C. Malven","Interior Design","RATE_MY_PROFESSORS","","","","","","",""
"Frederick H. Dark","Finance; Emeritus Associate Professor of Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Frederick L. Kirschenmann","Philosophy and Religious Studies","RATE_MY_PROFESSORS","","","","","","",""
"Frederick M. III Hood","Finance","RATE_MY_PROFESSORS","","","","","","",""
"Frederick R. Troeh","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Frederick X. Gibbons","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Fritz Keinert","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"GEORGE T. McJIMSEY","History","RATE_MY_PROFESSORS","","","","","","",""
"Gabriela Rossi","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Gail Carpenter","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Gail R. Nonnecke","Horticulture","RATE_MY_PROFESSORS","","","","","","",""
"Gang Han","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Ganwu Li","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
