"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Ali Jannesari","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Alice Alipour","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alicia L. Carriquiry","Statistics; Distinguished Professor in Liberal Arts and Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Alina Kirillova","Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alison E. Robertson","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Alison Marie St Germain","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Alissa Stoehr","Sociology and Criminal Justice and Women's and Gender Studies","RATE_MY_PROFESSORS","","","","","","",""
"Aliye Karabulut-Ilgu","Veterinary Pathology","RATE_MY_PROFESSORS","","","","","","",""
"Allen Dale Knapp","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Allen H. Trenkle","Animal Science; Charles F","RATE_MY_PROFESSORS","","","","","","",""
"Allie Wulfekuhle","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Allison Kenzig","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Alric Paul Rothmayer","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Alyce M. Fanslow","Human Development and Family Studies; Emerita Professor of School of Education; Mary B","RATE_MY_PROFESSORS","","","","","","",""
"Alyson Wilson","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Alyssa Emery","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Amanda Jean Fales-Williams","Veterinary Pathology","RATE_MY_PROFESSORS","","","","","","",""
"Amanda Jo Kreuder","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Amanda Petefish-Schrag","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Amanda Ramer-Tait","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Amanda Weinstein","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Amani E. Elobeid","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Ambar K. Mitra","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Amber Anderson","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Amber Bellville","Supply Chain Management","RATE_MY_PROFESSORS","","","","","","",""
"Amber Crowley-Gall","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Amber Rice","Agricultural Education and Studies","RATE_MY_PROFESSORS","","","","","","",""
"Ambrose laing","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Amie Zarling","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
