subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
TRANS,5990,Creative Component,1-3.,,,,True,Graduate Standing or Permission of Instructor,Advanced topic for creative component report in lieu of thesis.,,https://catalog.iastate.edu/azcourses/trans/
TRANS,6990,Research,1-30.,,,,True,,,,https://catalog.iastate.edu/azcourses/trans/
